player_id,player_name,player_country,DOB,home_town,resides,total_first,total_second,total_third,total_forth,total_played,total_points,podium%,height_inches,height_cm,DOB_date,DOB_str,big_stat_player_name
1,Mark Addy,United States,1973-04-28,,"Chicago, IL",0.0,0.0,0.0,0.0,27.0,42.0,,,,1973-04-28,"April 28, 1973 (50 years old)",Mark Addy
2,Rifat Agi,United States,1968-01-24,,"Redondo Beach, CA",0.0,0.0,0.0,0.0,43.0,80.0,,76.0,193.04,1968-01-24,"January 24, 1968 (55 years old)",
3,Todd Ahmadi,United States,,,"San Juan Capistrano, CA",0.0,0.0,0.0,0.0,39.0,0.0,,77.0,195.58,,March 16th,
4,John Anselmo,United States,1970-05-16,,"Manhattan Beach, CA",0.0,0.0,0.0,0.0,78.0,601.0,,73.0,185.42000000000002,1970-05-16,"May 16, 1970 (53 years old)",John Anselmo
5,Scott Ayakatubby,United States,1964-09-11,"Hermosa Beach, CA","Hermosa Beach, CA",19.0,28.0,40.0,34.0,289.0,3420.0,,76.0,193.04,1964-09-11,"September 11, 1964 (58 years old)",Scott Ayakatubby
6,"Eduardo Jorge ""Anjinho"" Bacil Filho",Brazil,1971-03-11,Rio de Janeiro,"El Segundo (CA), CA",2.0,13.0,16.0,17.0,203.0,3559.0,,74.0,187.96,1971-03-11,"March 11, 1971 (52 years old)",Eduardo Bacil
7,Paul Baxter,United States,1972-02-01,"Columbia Heights, MN","Venice, CA",0.0,0.0,6.0,0.0,174.0,11935.0,,77.0,195.58,1972-02-01,"February 1, 1972 (51 years old)",Paul Baxter
8,Robert Bell,United States,,,,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,
9,Jeff Bellandi,United States,1966-11-15,,"Hermosa Beach, CA",0.0,0.0,0.0,0.0,44.0,99.0,,72.0,182.88,1966-11-15,"November 15, 1966 (56 years old)",
10,Jud Buechler,United States,1968-06-19,"San Diego, CA",,0.0,0.0,0.0,0.0,2.0,0.0,,78.0,198.12,1968-06-19,"June 19, 1968 (55 years old)",
11,Duncan Blackman,United States,1970-05-21,,"Santa Monica, CA",0.0,0.0,0.0,0.0,2.0,0.0,,77.0,195.58,1970-05-21,"May 21, 1970 (53 years old)",
12,Dain Blanton,United States,1971-11-28,"Laguna Beach, CA","Los Angeles, CA",11.0,11.0,24.0,10.0,259.0,11493.0,,75.0,190.5,1971-11-28,"November 28, 1971 (51 years old)",Dain Blanton
13,Richard Boldt,United States,1971-02-21,,"Newport Beach, CA",0.0,0.0,0.0,0.0,29.0,70.0,,76.0,193.04,1971-02-21,"February 21, 1971 (52 years old)",Richard Boldt
14,Aaron Boss,United States,1970-11-30,"San Diego, CA","San Clemente, CA",1.0,0.0,1.0,1.0,141.0,3092.0,,78.0,198.12,1970-11-30,"November 30, 1970 (52 years old)",Aaron Boss
15,Bill Boullianne,United States,1965-12-24,"Palos Verdes, CA","Redondo Beach, CA",2.0,5.0,16.0,12.0,229.0,1772.0,,75.0,190.5,1965-12-24,"December 24, 1965 (57 years old)",
16,Paul Boyd,United States,1965-11-30,,"Redondo Beach, CA",0.0,0.0,0.0,0.0,32.0,0.0,,77.0,195.58,1965-11-30,"November 30, 1965 (57 years old)",
17,John Brajevic,United States,1966-02-16,,"San Pedro, CA",0.0,0.0,0.0,0.0,136.0,0.0,,76.0,193.04,1966-02-16,"February 16, 1966 (57 years old)",
18,Robert 'Booh' Brennan,Ireland,1965-02-03,"Easton, MA","Dublin, RI",0.0,0.0,0.0,0.0,14.0,29.0,,74.0,187.96,1965-02-03,"February 3, 1965 (58 years old)",Robert Brennan
19,James Butchko,United States,,,,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,
