BVB_ID,player_name_x,player_country,DOB_x,home_town,resides,total_first,total_second,total_third,total_forth,total_played,total_points,podium%,height_inches_x,height_cm,DOB_date,DOB_str,big_stat_player_name,gender,player_name_y,DOB_y,height_inches_y
1,Mark Addy,United States,1973-04-28,,"Chicago, IL",0.0,0.0,0.0,0.0,27.0,42.0,,,,1973-04-28,"April 28, 1973 (50 years old)",Mark Addy,M,Mark Addy,1973-04-28,
4,John Anselmo,United States,1970-05-16,,"Manhattan Beach, CA",0.0,0.0,0.0,0.0,78.0,601.0,,73.0,185.42000000000002,1970-05-16,"May 16, 1970 (53 years old)",John Anselmo,M,John Anselmo,1970-05-16,73.0
5,Scott Ayakatubby,United States,1964-09-11,"Hermosa Beach, CA","Hermosa Beach, CA",19.0,28.0,40.0,34.0,289.0,3420.0,,76.0,193.04,1964-09-11,"September 11, 1964 (58 years old)",Scott Ayakatubby,M,Scott Ayakatubby,1964-09-11,76.0
6,"Eduardo Jorge ""Anjinho"" Bacil Filho",Brazil,1971-03-11,Rio de Janeiro,"El Segundo (CA), CA",2.0,13.0,16.0,17.0,203.0,3559.0,,74.0,187.96,1971-03-11,"March 11, 1971 (52 years old)",Eduardo Bacil,M,Eduardo Bacil,1971-03-11,74.0
7,Paul Baxter,United States,1972-02-01,"Columbia Heights, MN","Venice, CA",0.0,0.0,6.0,0.0,174.0,11935.0,,77.0,195.58,1972-02-01,"February 1, 1972 (51 years old)",Paul Baxter,M,Paul Baxter,1972-02-01,77.0
515,"Paulo Roberto ""Paulão"" Moreira da Costa",Brazil,1969-04-29,Salvador,"Salvador, Bahia",7.0,3.0,4.0,9.0,87.0,4708.0,,76.0,193.04,1969-04-29,"April 29, 1969 (54 years old)",Paul Baxter,M,Paul Baxter,1972-02-01,77.0
12,Dain Blanton,United States,1971-11-28,"Laguna Beach, CA","Los Angeles, CA",11.0,11.0,24.0,10.0,259.0,11493.0,,75.0,190.5,1971-11-28,"November 28, 1971 (51 years old)",Dain Blanton,M,Dain Blanton,1971-11-28,75.0
13,Richard Boldt,United States,1971-02-21,,"Newport Beach, CA",0.0,0.0,0.0,0.0,29.0,70.0,,76.0,193.04,1971-02-21,"February 21, 1971 (52 years old)",Richard Boldt,M,Richard Boldt,1971-02-21,76.0
14,Aaron Boss,United States,1970-11-30,"San Diego, CA","San Clemente, CA",1.0,0.0,1.0,1.0,141.0,3092.0,,78.0,198.12,1970-11-30,"November 30, 1970 (52 years old)",Aaron Boss,M,Aaron Boss,1970-11-30,78.0
18,Robert 'Booh' Brennan,Ireland,1965-02-03,"Easton, MA","Dublin, RI",0.0,0.0,0.0,0.0,14.0,29.0,,74.0,187.96,1965-02-03,"February 3, 1965 (58 years old)",Robert Brennan,M,Robert Brennan,1965-02-03,74.0
20,Daniel Cardenas,Cuba,1967-08-11,,"Los Angeles, CA",0.0,0.0,0.0,1.0,124.0,631.0,,77.0,195.58,1967-08-11,"August 11, 1967 (55 years old)",Daniel Cardenas,M,Daniel Cardenas,1967-08-11,77.0
23,Canyon Ceman,United States,1972-06-21,"Hermosa Beach, CA","Stamford, CT",7.0,13.0,21.0,13.0,224.0,8327.0,,77.0,195.58,1972-06-21,"June 21, 1972 (51 years old)",Canyon Ceman,M,Canyon Ceman,1972-06-21,77.0
24,John Child,Canada,1967-05-04,"Toronto, ON","Toronto, ON",1.0,5.0,10.0,9.0,134.0,7908.0,,74.0,187.96,1967-05-04,"May 4, 1967 (56 years old)",John Child,M,John Child,1967-05-04,74.0
25,Ian Clark,United States,1970-09-02,"Boulder, CO","Lawndale, CA",1.0,2.0,4.0,4.0,166.0,3416.0,,78.0,198.12,1970-09-02,"September 2, 1970 (52 years old)",Ian Clark,M,Ian Clark,1970-09-02,78.0
27,Scott Davenport,United States,1971-09-12,"Rochester, NY","Redondo Beach, CA",0.0,0.0,0.0,0.0,118.0,3524.0,,72.0,182.88,1971-09-12,"September 12, 1971 (51 years old)",Scott Davenport,M,Scott Davenport,1971-09-12,72.0
28,Mike Diehl,United States,1970-12-30,,"Huntington Beach, CA",1.0,0.0,0.0,1.0,39.0,438.0,,78.0,198.12,1970-12-30,"December 30, 1970 (52 years old)",Mike Diehl,M,Mike Diehl,1970-12-30,78.0
29,Pete DiVenere,United States,1971-02-27,"Fogattaville, NC","Pawleys Island, SC",0.0,0.0,0.0,0.0,30.0,553.0,,74.0,187.96,1971-02-27,"February 27, 1971 (52 years old)",Pete DiVenere,M,Pete DiVenere,1971-02-27,74.0
30,Brent Doble,United States,1970-01-03,"St. Paul, MN","San Juan Capistrano, CA",5.0,1.0,13.0,2.0,161.0,7190.0,,78.0,198.12,1970-01-03,"January 3, 1970 (53 years old)",Brent Doble,M,Brent Doble,1970-01-03,78.0
32,Marcelo Duarte,United States,1971-01-15,,"Santa Barbara, CA",0.0,0.0,0.0,0.0,86.0,41.0,,72.0,182.88,1971-01-15,"January 15, 1971 (52 years old)",Marcello Duarte,M,Marcello Duarte,,
6337,Marcello Duarte,Brazil,,,,1.0,0.0,1.0,0.0,3.0,22.0,,,,,,Marcello Duarte,M,Marcello Duarte,,
34,Jake Elliott,United States,1975-09-27,"Charleston, SC","Mount Pleasant, SC",0.0,0.0,0.0,0.0,54.0,2116.0,,73.0,185.42000000000002,1975-09-27,"September 27, 1975 (47 years old)",Jake Elliott,M,Jake Elliott,1975-09-27,73.0
36,James Fellows,United States,1971-06-26,,"Naples, FL",0.0,0.0,0.0,0.0,81.0,164.0,,77.0,195.58,1971-06-26,"June 26, 1971 (52 years old)",James Fellows,M,James Fellows,1971-06-26,77.0
