BVB_ID,player_name,player_country,podium%,gender,isBlack_Challenge,isBlack_Elite16,isBlack,partners_count,duration_median,height_imputed,current_age,games_points_metric
1,Mark Addy,United States,0.0,M,False,False,False,3.0,43.0,75.096018735363,49.0,-0.0897452325409479
4,John Anselmo,United States,0.0,M,False,False,False,8.0,45.5,73.0,52.0,1.0153189665283253
5,Scott Ayakatubby,United States,0.3,M,False,False,False,11.0,48.5,76.0,58.0,5.66754273606663
6,"Eduardo Jorge ""Anjinho"" Bacil Filho",Brazil,0.15,M,False,False,False,11.0,47.0,74.0,51.0,3.9756394776382242
7,Paul Baxter,United States,0.03,M,False,False,False,27.0,52.0,77.0,50.0,4.726053723954058
515,"Paulo Roberto ""Paulão"" Moreira da Costa",Brazil,0.16,M,False,False,False,1.0,36.0,76.0,53.0,1.8460262349005292
12,Dain Blanton,United States,0.18,M,False,False,False,17.0,51.0,75.0,51.0,6.349973738324216
13,Richard Boldt,United States,0.0,M,False,False,False,2.0,40.5,76.0,51.0,-0.04544538611150675
14,Aaron Boss,United States,0.01,M,False,False,False,16.0,48.0,78.0,52.0,2.665939953406012
18,Robert 'Booh' Brennan,Ireland,0.0,M,False,False,False,3.0,44.5,74.0,57.0,-0.3508920501712221
20,Daniel Cardenas,Cuba,0.0,M,False,False,False,2.0,56.5,77.0,55.0,1.936839451713689
23,Canyon Ceman,United States,0.18,M,False,False,False,16.0,49.0,77.0,50.0,5.150332077790738
24,John Child,Canada,0.12,M,False,False,False,3.0,45.0,74.0,55.0,3.2902155380486047
25,Ian Clark,United States,0.04,M,False,False,False,10.0,47.5,78.0,52.0,3.2155646208261666
27,Scott Davenport,United States,0.0,M,False,False,False,19.0,47.5,72.0,51.0,2.276070694955394
28,Mike Diehl,United States,0.03,M,False,False,False,7.0,53.0,78.0,52.0,0.21221300573232194
29,Pete DiVenere,United States,0.0,M,False,False,False,15.0,45.0,74.0,51.0,0.05108456297038996
30,Brent Doble,United States,0.12,M,False,False,False,15.0,51.0,78.0,52.0,3.714445749813171
32,Marcelo Duarte,United States,0.0,M,False,False,False,1.0,39.0,72.0,51.0,1.0859439868244642
34,Jake Elliott,United States,0.0,M,False,False,False,12.0,46.0,73.0,47.0,0.7772760927015624
