BVB_ID,player_name,player_country,podium%,gender,isBlack_Challenge,isBlack_Elite16,isBlack,partners_count,duration_median,height_imputed,current_age,games_points_metric
1188,Liz Masakayan,United States,0.42,W,False,False,False,6.0,43.5,68.0,58.0,5.024994387348605
1189,Elaine Youngs,United States,0.64,W,False,False,False,21.0,43.0,72.0,52.0,10.14193141793102
1190,Linda Robertson Hanley,United States,0.54,W,False,False,False,2.0,41.0,69.0,62.0,4.810046218245345
1192,Holly McPeak,United States,0.53,W,False,False,False,19.0,42.0,67.0,53.0,10.121295259093031
1194,Carrie Busch Dodd,United States,0.18,W,False,False,False,14.0,42.0,72.0,48.0,5.300213366060909
1195,Leanne Schuster McSorley,United States,0.13,W,False,False,False,10.0,40.0,68.0,49.0,3.037261860793933
1196,Lisa Arce Zimmerman,United States,0.39,W,False,False,False,5.0,40.0,71.0,53.0,4.1400576185114755
1197,Barbra Fontana,United States,0.35,W,False,False,False,19.0,43.0,66.0,57.0,8.542827839416232
4687,Barbara Puiggali Fontanals,Spain,0.0,W,False,False,False,1.0,39.0,66.0,42.0,-0.6142591670811134
1198,Annett Davis,United States,0.51,W,False,False,False,17.0,42.0,71.0,49.0,6.833908856523211
1199,Jenny Johnson Jordan,United States,0.52,W,False,False,False,14.0,42.0,70.0,49.0,6.483790243025227
1200,Danalee Bragado-Corso,United States,0.04,W,False,False,False,13.0,40.0,72.0,51.0,2.6094833783361295
1201,Ali Wood Lamberson,United States,0.01,W,False,False,False,7.0,41.0,72.0,55.0,3.69784287916549
1202,Stephanie Cox,United States,0.03,W,False,False,False,1.0,43.0,66.0,52.0,0.8259628521701192
1203,Katy Eldridge,United States,0.03,W,False,False,False,1.0,40.0,71.0,51.0,0.2512811373900957
1204,Marsha Miller,United States,0.02,W,False,False,False,2.0,41.0,73.0,53.0,0.9013999580956525
1205,Jenny Pavley,United States,0.04,W,False,False,False,12.0,43.0,68.0,46.0,2.7484674413313464
1209,Nancy Mason Reynolds,United States,0.15,W,False,False,False,29.0,43.0,69.0,52.0,5.942665430634706
1211,Marla O'Hara,United States,0.03,W,False,False,False,21.0,41.0,69.0,61.0,4.76241099538714
1212,Jennifer Murrell Holdren,United States,0.02,W,False,False,False,4.0,43.0,69.0,51.0,0.5227358714513539
1213,Rachel Wacholder Scott,United States,0.37,W,False,False,False,15.0,43.0,68.0,47.0,6.7467352670381775
1214,Kristin Schritter,United States,0.0,W,False,False,False,11.0,42.0,72.0,55.0,1.1296119257858266
1215,Julie Sprague Deckert,United States,0.0,W,False,False,False,3.0,46.5,68.0,53.0,0.5835818233150213
1217,Angela Rock,United States,0.48,W,False,False,False,1.0,40.0,68.0,59.0,3.3248344480058027
1218,Karen Loeser Hoyt,United States,0.0,W,False,False,False,6.0,43.0,69.0,58.0,0.07191267415816358
