BVB_ID,player_name,player_country,DOB,home_town,resides,total_first,total_second,total_third,total_forth,total_played,total_points,podium%,height_in,big_stat_player_name,gender,isBlack_Challenge,isBlack_Elite16,isBlack,player_name_y,duration_avg,partners_count,duration_median,height_imputed,current_age
1,Mark Addy,United States,1973-04-28,,"Chicago, IL",0.0,0.0,0.0,0.0,27.0,42.0,0.0,,Mark Addy,M,False,False,False,Mark Addy,46.5,3.0,43.0,75.096018735363,49.0
4,John Anselmo,United States,1970-05-16,,"Manhattan Beach, CA",0.0,0.0,0.0,0.0,78.0,601.0,0.0,73.0,John Anselmo,M,False,False,False,John Anselmo,49.775,8.0,45.5,73.0,52.0
5,Scott Ayakatubby,United States,1964-09-11,"Hermosa Beach, CA","Hermosa Beach, CA",19.0,28.0,40.0,34.0,289.0,3420.0,0.3,76.0,Scott Ayakatubby,M,False,False,False,Scott Ayakatubby,50.96212121212121,11.0,48.5,76.0,58.0
6,"Eduardo Jorge ""Anjinho"" Bacil Filho",Brazil,1971-03-11,Rio de Janeiro,"El Segundo (CA), CA",2.0,13.0,16.0,17.0,203.0,3559.0,0.15,74.0,Eduardo Bacil,M,False,False,False,Eduardo Bacil,50.18571428571428,11.0,47.0,74.0,51.0
7,Paul Baxter,United States,1972-02-01,"Columbia Heights, MN","Venice, CA",0.0,0.0,6.0,0.0,174.0,11935.0,0.03,77.0,Paul Baxter,M,False,False,False,Paul Baxter,54.67785234899329,27.0,52.0,77.0,50.0
515,"Paulo Roberto ""Paulão"" Moreira da Costa",Brazil,1969-04-29,Salvador,"Salvador, Bahia",7.0,3.0,4.0,9.0,87.0,4708.0,0.16,76.0,Paul Baxter,M,False,False,False,,,,,76.0,53.0
12,Dain Blanton,United States,1971-11-28,"Laguna Beach, CA","Los Angeles, CA",11.0,11.0,24.0,10.0,259.0,11493.0,0.18,75.0,Dain Blanton,M,False,False,False,Dain Blanton,52.67213114754098,17.0,51.0,75.0,51.0
13,Richard Boldt,United States,1971-02-21,,"Newport Beach, CA",0.0,0.0,0.0,0.0,29.0,70.0,0.0,76.0,Richard Boldt,M,False,False,False,Richard Boldt,40.5,2.0,40.5,76.0,51.0
14,Aaron Boss,United States,1970-11-30,"San Diego, CA","San Clemente, CA",1.0,0.0,1.0,1.0,141.0,3092.0,0.01,78.0,Aaron Boss,M,False,False,False,Aaron Boss,50.006711409395976,16.0,48.0,78.0,52.0
18,Robert 'Booh' Brennan,Ireland,1965-02-03,"Easton, MA","Dublin, RI",0.0,0.0,0.0,0.0,14.0,29.0,0.0,74.0,Robert Brennan,M,False,False,False,Robert Brennan,43.75,3.0,44.5,74.0,57.0
