DOB,height_in,home_town,player_country,player_id,player_name,resides,total_first,total_forth,total_played,total_points1,total_points2,total_second,total_third
"August 28, 1998 (24 years old)","6'2""",Babol,Iran  ,16934,Alireza Aghajanighasab,Babol,1,1,8,476.0,0,1,1
"September 27, 2002 (20 years old)","6'0""","San Diego, CA",United States  ,18522,Megan Kraft,"San Diego, CA",3,3,22,"4,795.0", ,0,0
"July 14, 1994 (28 years old)","6'0""",Moscow,Russia  ,11691,Ksenia Dabizha,Moscow,2,2,64,"5,269.0", ,1,3
"July 5, 1990 (32 years old)","6'2""",Bratislava,Slovakia  ,9532,Natalia Dubovcova Pridalova,Bratislava,0,0,96,"11,170.0", ,0,4
"April 3, 2002 (21 years old)","6'4""",Bergen,Norway  ,19196,Markus Mol,Strandvik,0,0,4,280.0,0,0,0
"October 1, 1995 (27 years old)","6'3""","Pittsford, NY",United States  ,17069,Terese Cannon,"Pittsford, NY",1,0,29,"6,050.0", ,4,3
"February 9, 1989 (34 years old)","6'4""",Czestochowa,Poland  ,19403,Jedrzej Brozyniak,Czestochowa,2,0,4,350.0,0,0,0
"September 21, 2000 (22 years old)","6'5""",Novo Mesto,Slovenia  ,17987,Crtomir Bošnjak,Ljubljana,0,0,1,60.0,0,0,0
"May 23, 1992 (31 years old)","6'3""",Turnhout,Belgium  ,19697,Tim Lemmens,"Berchem, Antwerpen",0,1,1,70.0, ,0,0
"May 1, 1992 (31 years old)","6'3""",Menen,Belgium  ,19698,Anshel Ver Eecke,Zulte,0,1,1,70.0, ,0,0
"February 5, 1996 (27 years old)","6'2""","Arendal, Aust-Agder",Norway  ,14738,Mathias Berntsen,Aamli,0,1,62,"8,451.0", ,1,3
"February 18, 1992 (31 years old)","6'0""",Ostroda,Poland  ,17751,Marcin Ociepski,Ostroda,0,0,2,20.0,0,0,0
"April 15, 1999 (24 years old)","6'1""",Pau,France  ,15406,Timothée Platre,Sete,1,4,17,"1,295.0", ,0,1
"August 2, 1993 (29 years old)","6'6""",Feldbach,Austria  ,11730,Christoph Dressler,Gosdorf,2,2,89,"8,253.0", ,2,2
"January 22, 1988 (35 years old)","5'10""",Versailles,France  ,8801,Laura Longuet,Annecy le vieux,0,1,48,"2,272.0", ,0,0
"September 29, 1997 (25 years old)","6'4""",Espinosa,Brazil  ,15329,Ana Patricia Silva Ramos,Fortaleza,10,1,47,"13,740.0", ,5,8
"September 22, 1979 (43 years old)","6'1""","Davie, FL",United States  ,1931,Nick Lucena,"Tallahassee, FL",9,6,121,"22,236.0", ,11,6
"April 24, 1981 (42 years old)","5'9""",Brasília (DF),Brazil  ,5834,Ângela Cristina Rebouças Lavalle Vieira,Brasília (DF),2,2,65,"4,900.0", ,2,2
