city,country,date,gender,p1_player_1_id,p1_player_1_name,p1_player_2_id,p1_player_2_name,p2_player_1_id,p2_player_1_name,p2_player_2_id,p2_player_2_name,p3_player_1_id,p3_player_1_name,p3_player_2_id,p3_player_2_name,p4_player_1_id,p4_player_1_name,p4_player_2_id,p4_player_2_name,season_title,tournament_id,year
Montpellier, France,Sep 7-9,M,11750,Jan Pokersnik,10129,Nejc Zemljak,13393,Ondrej Perusic,16538,David Schweiner,17129,Quincy Aye,15029,Youssef Krou,13763,Djordje Klasnic,15915,Lazar Kolaric,Volleyball World Beach Pro Tour 2018 Season Summary,3400,2018
Bandar Torkaman, Iran,Oct 1-4,M,17546,Nuttanon Inkiew,13843,Intuch Techakijvorakul,16934,Alireza Aghajani,17338,Javad Firouzpourbandpei,15951,Bahman Salemi,16552,Arash Vakili,10957,Hitoshi Murakami,17403,Takashi Tsuchiya,Volleyball World Beach Pro Tour 2020 Season Summary,3735,2020
Qinzhou, China,Oct 11-15,M,14261,Maxim Sivolap,13720,Igor Velichko,7145,Lombardo Ontiveros,8011,Juan Virgen,14857,Nivaldo Diaz,9402,Sergio Gonzalez,11600,Dries Koekelkoren,11601,Tom van Walle,Volleyball World Beach Pro Tour 2018 Season Summary,3318,2018
Qinzhou, China,Oct 11-15,W,8395,Mariafe Artacho,10795,Taliqua Clancy,12452,Katarzyna Kociolek,8220,Kinga Wojtasik,9309,Summer Ross,8047,Brooke Sweat,11612,Fan Wang,14924,Xinyi Xia,Volleyball World Beach Pro Tour 2018 Season Summary,3319,2018
Qinzhou, China,Oct 29-Nov 3,W,9100,Karla Borger,8417,Julia Sude,8047,Brooke Sweat,1923,Kerri Walsh Jennings,19002,Jingzhe Wang,17591,Shuhui Wen,8395,Mariafe Artacho,10795,Taliqua Clancy,Volleyball World Beach Pro Tour 2020 Season Summary,3732,2020
Qinzhou, China,Oct 30-Nov 3,M,11641,Mirco Gerson,14650,Adrian Heidrich,13344,Martin Ermacora,14710,Moritz Pristauz,9443,Valeriy Samoday,13720,Igor Velichko,10787,Ruslan Bykanov,7738,Alexander Likholetov,Volleyball World Beach Pro Tour 2020 Season Summary,3731,2020
Aalsmeer, Netherlands,Oct 25-29,M,15116,Marco Caminati,14706,Enrico Rossi,13467,Miles Evans,11507,Billy Kolinske,11420,Murat Giginoglu,15049,Hasan Mermer,15967,Oleksii Denin,9444,Sergiy Popov,Volleyball World Beach Pro Tour 2018 Season Summary,3407,2018
Aalsmeer, Netherlands,Oct 25-29,W,9485,Madelein Meppelink,13779,Joy Stubbe,13144,Sandra Ittlinger,11760,Kim Van de Velde,12974,Betsi Flint,15139,Kelley Kolinske,16036,Miki Ishii,13080,Megumi Murakami,Volleyball World Beach Pro Tour 2018 Season Summary,3408,2018
Tel Aviv, Israel,Nov 6-9,M,17983,Samuele Cottafava,16802,Jakob Windisch,8930,Daniel Thomsen,15557,Martin Trans Hansen,16748,Aleksandr Kramarenko,6883,Serguei Prokopiev,14289,Sean Faiga,11958,Netanel Ohana,Volleyball World Beach Pro Tour 2020 Season Summary,3741,2020
Tel Aviv, Israel,Nov 6-9,W,16621,Reika Murakami,17046,Kaho Sakaguchi,11663,Line Hansen,16979,Okholm Hansen,6711,Alexandra Moiseeva,12509,Ekaterina Syrtseva,15095,Eva Freiberger,13030,Valerie Teufl,Volleyball World Beach Pro Tour 2020 Season Summary,3742,2020
Sydney, Australia,Nov 22-25,M,11725,Grant O'Gorman,7080,Ben Saxton,17129,Quincy Aye,15029,Youssef Krou,13467,Miles Evans,11507,Billy Kolinske,8410,Christopher McHugh,11185,Damien Schumann,Volleyball World Beach Pro Tour 2018 Season Summary,3409,2018
Sydney, Australia,Nov 23-26,W,8395,Mariafe Artacho,10795,Taliqua Clancy,11612,Fan Wang,14924,Xinyi Xia,11650,Lena Plesiutschnig,11649,Katharina Schutzenhofer,17139,Azusa Futami,16035,Akiko Hasegawa,Volleyball World Beach Pro Tour 2018 Season Summary,3410,2018
Doha, Qatar,Nov 12-15,M,19403,Jedrzej Brozyniak,9144,Piotr Janiak,15529,Petr Bakhnar,7513,Yury Bogatov,17928,David Ahman,18278,Jonatan Hellvig,18132,Nouh Al-Jalbubi,18133,Mazin Alhashmi,Volleyball World Beach Pro Tour 2020 Season Summary,3727,2020
Chetumal, Mexico,Nov 13-17,M,13454,Taylor Crabb,190,Jake Gibb,9129,Alexander Brouwer,9130,Robert Meeuwsen,13699,Tri Bourne,13453,Trevor Crabb,9556,Alexander Walkenhorst,15725,Sven Winter,Volleyball World Beach Pro Tour 2020 Season Summary,3733,2020
Doha, Qatar,Feb 23-26,M,15097,Cherif Samba,15096,Ahmed Tijan,14785,Yves Haussener,13743,Quentin Metral,17711,Alexey Gusev,17710,Pavel Shustrov,11420,Murat Giginoglu,11531,Volkan Gogtepe,Volleyball World Beach Pro Tour 2021 Season Summary,3899,2021
The Hague, Netherlands,Jan 2-7,W,7091,Alix Klineman,7389,April Ross,8003,Maria Antonelli,5887,Carol Salgado,13151,Nina Brunner,11625,Tanja Huberli,9361,Barbora Hermannova,7763,Marketa Slukova,Volleyball World Beach Pro Tour 2018 Season Summary,3412,2018
The Hague, Netherlands,Jan 3-7,M,6769,Martins Plavins,12433,Edgars Tocs,10443,Piotr Kantor,10444,Bartosz Losiak,9129,Alexander Brouwer,9130,Robert Meeuwsen,15089,Jasper Bouter,9429,Christiaan Varenhorst,Volleyball World Beach Pro Tour 2018 Season Summary,3411,2018
Chetumal, Mexico,Nov 13-17,W,8395,Mariafe Artacho,10795,Taliqua Clancy,11612,Fan Wang,14924,Xinyi Xia,5292,Sanne Keizer,9485,Madelein Meppelink,5146,Talita Antunes,6751,Taiana Lima,Volleyball World Beach Pro Tour 2020 Season Summary,3734,2020
Qeshm, Iran,Jan 7-10,M,16934,Alireza Aghajani,17338,Javad Firouzpourbandpei,15951,Bahman Salemi,16552,Arash Vakili,15996,Abolhamed Mirzaali,11808,Rahman Raoufi,19678,Saifeddine Elmajid,17700,Benlouaer Ziad,Volleyball World Beach Pro Tour 2020 Season Summary,3743,2020
Doha, Qatar,Mar 8-12,M,13393,Ondrej Perusic,16538,David Schweiner,11727,Guto Carvalhaes,11854,Evandro Goncalves,13454,Taylor Crabb,190,Jake Gibb,5214,Phil Dalhausser,1931,Nick Lucena,Volleyball World Beach Pro Tour 2021 Season Summary,3897,2021
Siofok, Hungary,Aug 23-26,M,13338,Romain Di Giantommaso,18144,Jeremy Silvestre,14675,Matas Navickas,17181,Patrikas Stankevicius,16262,Robin Sowa,14809,Eric Stadie,13763,Djordje Klasnic,18331,Marko Plavsic,Volleyball World Beach Pro Tour 2019 Season Summary,3547,2019
Tlaxcala, Mexico,Mar 16-20,M,13340,Michal Bryl,10444,Bartosz Losiak,20973,Noe Aravena,18426,Vicente Droguett,6770,Aleksandrs Samoilovs,6874,Janis Smedins,9345,Vitor Felipe,16878,Renato Lima,Volleyball World Beach Pro Tour 2022 Season Summary,3985,2022
Shepparton, Australia,Feb 1-4,M,10329,Avery Drost,16657,Chase Frishman,8410,Christopher McHugh,11185,Damien Schumann,10757,Cole Durant,14444,Zachery Schubert,10963,Armin Dollinger,16263,Simon Kulzer,Volleyball World Beach Pro Tour 2018 Season Summary,3413,2018
Shepparton, Australia,Feb 1-4,W,14159,Amanda Lawson,13811,Irene Pollock,8129,Caitlin Ledoux,13300,Jace Pardon,8503,Laura Giombini,7849,Marta Menegatti,15017,Shaunna Polley,10810,Kelsie Wills,Volleyball World Beach Pro Tour 2018 Season Summary,3414,2018
